time,wx,wy,wz
0.9516148567199707,0.89,-0.27,-0.57
0.9619128704071045,0.83,-0.11,-0.4
0.9727318286895752,0.7,0.09,-0.2
0.9816746711730957,0.56,0.35,-0.02
0.9916667938232422,0.49,0.61,0.07
1.0029077529907227,0.49,0.71,0.07
1.0123717784881592,0.52,0.67,0.06
1.0225286483764648,0.53,0.52,0.05
1.0314216613769531,0.5,0.28,0.06
1.0430188179016113,0.42,0.06,0.07
1.051499843597412,0.32,-0.12,0.05
1.061567783355713,0.22,-0.21,0.02
1.0726699829101562,0.13,-0.23,-0.03
1.081617832183838,0.06,-0.19,-0.07
1.0914788246154785,0.02,-0.13,-0.1
1.1028318405151367,-0.01,-0.08,-0.12
1.112447738647461,-0.01,-0.08,-0.13
1.1215009689331055,-0.01,-0.12,-0.15
1.1317367553710938,-0.01,-0.21,-0.15
1.1425418853759766,-0.03,-0.33,-0.15
1.1513466835021973,-0.07,-0.42,-0.14
1.1614227294921875,-0.11,-0.46,-0.12
1.1727209091186523,-0.13,-0.43,-0.09
1.18143892288208,-0.11,-0.32,-0.06
1.1913788318634033,-0.06,-0.22,-0.02
1.2027959823608398,0.01,-0.13,0.01
1.2125239372253418,0.06,-0.05,0.04
1.2214016914367676,0.08,-0.03,0.06
1.2314307689666748,0.07,-0.05,0.07
1.2425689697265625,0.04,-0.12,0.05
1.2513127326965332,0.01,-0.21,0.03
1.261326789855957,-0.03,-0.26,-0.01
1.2713208198547363,-0.05,-0.25,-0.04
1.2822508811950684,-0.05,-0.21,-0.07
1.2913169860839844,-0.04,-0.14,-0.08
1.301346778869629,-0.01,-0.07,-0.08
1.3112096786499023,0.05,0.01,-0.07
1.3212976455688477,0.32,0.27,-0.06
1.331502914428711,0.26,0.19,0.09
1.3426146507263184,0.17,0.11,0.11
1.3511738777160645,0.09,0.06,0.07
