time,gFx,gFy,gFz,TgF
0.012000,-0.1126,0.4903,0.9225,1.051
0.012000,-0.1179,0.4881,0.9273,1.055
0.012000,-0.1172,0.4844,0.9308,1.056
0.012000,-0.1170,0.4825,0.9371,1.060
0.013000,-0.1160,0.4788,0.9417,1.063
0.013000,-0.1121,0.4737,0.9459,1.064
0.013000,-0.1035,0.4710,0.9496,1.065
0.013000,-0.1006,0.4666,0.9562,1.069
0.013000,-0.0952,0.4627,0.9581,1.068
0.014000,-0.0913,0.4620,0.9574,1.067
0.020000,-0.0877,0.4620,0.9584,1.067
0.020000,-0.0872,0.4595,0.9569,1.065
0.021000,-0.0830,0.4603,0.9535,1.062
0.023000,-0.0803,0.4637,0.9500,1.060
0.026000,-0.0825,0.4695,0.9422,1.056
0.029000,-0.0830,0.4737,0.9422,1.058
0.032000,-0.0813,0.4747,0.9378,1.054
0.035000,-0.0796,0.4717,0.9388,1.054
0.036000,-0.0816,0.4673,0.9398,1.053
0.039000,-0.0833,0.4671,0.9422,1.055
0.041000,-0.0833,0.4678,0.9430,1.056
0.052000,-0.0845,0.4698,0.9408,1.055
0.052000,-0.0867,0.4712,0.9395,1.055
0.052000,-0.0847,0.4761,0.9305,1.049
0.052000,-0.0840,0.4788,0.9220,1.042
0.053000,-0.0818,0.4773,0.9146,1.035
0.057000,-0.0747,0.4800,0.9059,1.028
0.059000,-0.0747,0.4812,0.8954,1.019
0.061000,-0.0725,0.4837,0.8888,1.014
0.064000,-0.0742,0.4844,0.8783,1.006
0.066000,-0.1345,0.4905,0.8438,0.985
0.068000,-0.2288,0.5118,0.7891,0.968
0.071000,-0.1731,0.5162,0.8128,0.978
0.073000,-0.1279,0.5220,0.8316,0.990
0.076000,-0.0921,0.4886,0.8238,0.962
0.078000,-0.0764,0.4678,0.8353,0.960
0.081000,-0.0679,0.4764,0.8394,0.968
0.084000,-0.0667,0.4817,0.8365,0.968
0.087000,-0.0618,0.4791,0.8360,0.966
0.088000,-0.0769,0.4615,0.8648,0.983
0.093000,-0.1148,0.4612,0.9288,1.043
0.093000,-0.1155,0.4820,0.9330,1.056
0.096000,-0.1123,0.4939,0.9308,1.060
0.098000,-0.1116,0.4983,0.9398,1.070
0.103000,-0.1040,0.5010,0.9466,1.076
0.103000,-0.0918,0.4922,0.9515,1.075
0.106000,-0.0884,0.4876,0.9383,1.061
0.109000,-0.0925,0.4749,0.9303,1.049
0.111000,-0.1013,0.4639,0.9298,1.044
0.112000,-0.1030,0.4595,0.9293,1.042
0.115000,-0.1043,0.4554,0.9276,1.039
0.118000,-0.0986,0.4583,0.9261,1.038
0.120000,-0.0911,0.4573,0.9259,1.037
0.123000,-0.0857,0.4615,0.9283,1.040
0.126000,-0.0828,0.4625,0.9271,1.039
0.128000,-0.0803,0.4639,0.9303,1.043
0.130000,-0.0789,0.4644,0.9288,1.041
0.132000,-0.0840,0.4622,0.9259,1.038
0.134000,-0.0857,0.4607,0.9222,1.034
0.138000,-0.0872,0.4615,0.9173,1.031
0.140000,-0.0923,0.4605,0.9137,1.027
0.144000,-0.0955,0.4607,0.9115,1.026
0.145000,-0.0977,0.4642,0.9071,1.024
0.147000,-0.0960,0.4666,0.9056,1.023
0.150000,-0.0964,0.4676,0.9019,1.021
0.152000,-0.0933,0.4693,0.8988,1.018
0.154000,-0.0923,0.4688,0.8973,1.017
0.157000,-0.0906,0.4686,0.8951,1.014
0.161000,-0.0916,0.4703,0.8922,1.013
0.162000,-0.0930,0.4700,0.8912,1.012
0.165000,-0.0938,0.4698,0.8902,1.011
0.168000,-0.0906,0.4688,0.8893,1.009
0.169000,-0.0886,0.4656,0.8893,1.008
0.172000,-0.0855,0.4668,0.8897,1.008
0.174000,-0.0835,0.4656,0.8897,1.008
0.177000,-0.0803,0.4654,0.8927,1.010
0.179000,-0.0794,0.4637,0.8968,1.013
0.182000,-0.0772,0.4629,0.8983,1.013
0.184000,-0.0786,0.4620,0.9000,1.015
0.187000,-0.0781,0.4612,0.9002,1.015
0.189000,-0.0759,0.4600,0.9017,1.015
0.192000,-0.0725,0.4581,0.9024,1.015
0.194000,-0.0718,0.4583,0.9015,1.014
0.196000,-0.0696,0.4588,0.8993,1.012
0.199000,-0.0664,0.4576,0.8990,1.011
0.201000,-0.0671,0.4566,0.8954,1.007
0.204000,-0.0635,0.4559,0.8949,1.006
0.206000,-0.0628,0.4563,0.8912,1.003
0.209000,-0.0606,0.4573,0.8871,1.000
0.211000,-0.0601,0.4573,0.8836,0.997
0.214000,-0.0571,0.4583,0.8800,0.994
0.216000,-0.0547,0.4588,0.8761,0.990
0.219000,-0.0542,0.4583,0.8726,0.987
0.221000,-0.0523,0.4588,0.8714,0.986
0.224000,-0.0488,0.4590,0.8683,0.983
0.227000,-0.0481,0.4585,0.8665,0.982
0.229000,-0.0469,0.4571,0.8670,0.981
0.231000,-0.0447,0.4581,0.8663,0.981
0.234000,-0.0430,0.4590,0.8624,0.978
0.236000,-0.0427,0.4578,0.8646,0.979
0.238000,-0.0430,0.4576,0.8648,0.979
0.241000,-0.0425,0.4588,0.8656,0.981
0.245000,-0.0398,0.4573,0.8665,0.981
0.246000,-0.0430,0.4595,0.8685,0.984
0.249000,-0.0439,0.4607,0.8726,0.988
0.251000,-0.0469,0.4600,0.8731,0.988
0.253000,-0.0486,0.4600,0.8783,0.993
0.256000,-0.0498,0.4622,0.8841,0.999
0.258000,-0.0508,0.4607,0.8900,1.003
0.261000,-0.0525,0.4600,0.8917,1.005
0.263000,-0.0530,0.4603,0.8954,1.008
0.266000,-0.0525,0.4615,0.8990,1.012
0.268000,-0.0530,0.4612,0.8990,1.012
0.270000,-0.0535,0.4615,0.9005,1.013
0.273000,-0.0527,0.4620,0.8988,1.012
0.276000,-0.0525,0.4622,0.9002,1.013
0.279000,-0.0505,0.4637,0.8958,1.010
0.281000,-0.0510,0.4620,0.8951,1.009
0.284000,-0.0486,0.4634,0.8914,1.006
0.285000,-0.0481,0.4625,0.8893,1.003
0.288000,-0.0442,0.4625,0.8861,1.000
0.290000,-0.0464,0.4639,0.8851,1.000
0.293000,-0.0469,0.4644,0.8809,0.997
0.295000,-0.0488,0.4651,0.8783,0.995
0.298000,-0.0498,0.4644,0.8751,0.992
0.300000,-0.0527,0.4651,0.8705,0.988
0.303000,-0.0540,0.4646,0.8670,0.985
0.305000,-0.0562,0.4651,0.8641,0.983
0.308000,-0.0596,0.4671,0.8600,0.980
0.311000,-0.0608,0.4676,0.8585,0.979
0.313000,-0.0610,0.4683,0.8524,0.974
0.315000,-0.0613,0.4705,0.8516,0.975
0.317000,-0.0625,0.4729,0.8480,0.973
0.320000,-0.0645,0.4737,0.8412,0.968
0.323000,-0.0649,0.4749,0.8365,0.964
0.325000,-0.0657,0.4766,0.8336,0.962
0.328000,-0.0664,0.4756,0.8270,0.956
0.330000,-0.0676,0.4754,0.8214,0.951
0.333000,-0.0669,0.4783,0.8175,0.949
0.335000,-0.0669,0.4778,0.8143,0.947
0.337000,-0.0667,0.4781,0.8101,0.943
0.340000,-0.0693,0.4778,0.8087,0.942
0.346000,-0.0689,0.4778,0.8067,0.940
0.346000,-0.0711,0.4788,0.8057,0.940
0.348000,-0.0735,0.4808,0.8092,0.944
0.350000,-0.0730,0.4817,0.8079,0.943
0.353000,-0.0754,0.4805,0.8119,0.946
0.355000,-0.0784,0.4783,0.8167,0.950
0.357000,-0.0786,0.4798,0.8194,0.953
0.360000,-0.0806,0.4786,0.8206,0.953
0.362000,-0.0813,0.4795,0.8250,0.958
0.365000,-0.0801,0.4795,0.8299,0.962
0.367000,-0.0791,0.4773,0.8328,0.963
0.369000,-0.0791,0.4766,0.8385,0.968
0.372000,-0.0820,0.4756,0.8436,0.972
0.374000,-0.0842,0.4744,0.8468,0.974
0.378000,-0.0857,0.4744,0.8587,0.985
0.380000,-0.0859,0.4729,0.8643,0.989
0.382000,-0.0869,0.4705,0.8692,0.992
0.384000,-0.0850,0.4688,0.8744,0.996
0.386000,-0.0830,0.4666,0.8802,1.000
0.391000,-0.0796,0.4656,0.8861,1.004
0.392000,-0.0742,0.4603,0.8866,1.002
0.394000,-0.0723,0.4615,0.8910,1.006
0.396000,-0.0664,0.4583,0.8917,1.005
0.399000,-0.0652,0.4571,0.8917,1.004
0.402000,-0.0625,0.4539,0.8922,1.003
0.405000,-0.0584,0.4515,0.8924,1.002
0.407000,-0.0571,0.4505,0.8939,1.003
0.409000,-0.0566,0.4507,0.8922,1.001
0.412000,-0.0542,0.4483,0.8927,1.000
0.414000,-0.0525,0.4476,0.8946,1.002
0.417000,-0.0527,0.4500,0.8941,1.002
0.419000,-0.0525,0.4502,0.8944,1.003
0.421000,-0.0549,0.4500,0.8961,1.004
0.424000,-0.0537,0.4515,0.9010,1.009
0.426000,-0.0535,0.4532,0.8990,1.008
0.429000,-0.0537,0.4527,0.8985,1.008
0.431000,-0.0574,0.4534,0.9012,1.010
0.434000,-0.0569,0.4541,0.9010,1.011
0.436000,-0.0581,0.4554,0.9002,1.011
0.438000,-0.0576,0.4551,0.9037,1.013
0.441000,-0.0591,0.4561,0.9019,1.012
0.444000,-0.0569,0.4573,0.9027,1.014
0.447000,-0.0584,0.4576,0.9000,1.011
0.449000,-0.0588,0.4588,0.8995,1.011
0.451000,-0.0581,0.4600,0.8973,1.010
0.453000,-0.0579,0.4625,0.8966,1.010
0.456000,-0.0571,0.4610,0.8961,1.009
0.459000,-0.0603,0.4622,0.8973,1.011
0.462000,-0.0623,0.4622,0.9005,1.014
0.464000,-0.0620,0.4644,0.9024,1.017
0.466000,-0.0647,0.4668,0.9012,1.017
0.468000,-0.0664,0.4666,0.9037,1.019
0.471000,-0.0674,0.4671,0.9068,1.022
0.473000,-0.0657,0.4654,0.9081,1.022
0.476000,-0.0686,0.4656,0.9095,1.024
0.479000,-0.0693,0.4656,0.9115,1.026
0.481000,-0.0698,0.4659,0.9132,1.028
0.483000,-0.0676,0.4683,0.9137,1.029
0.486000,-0.0689,0.4673,0.9151,1.030
0.488000,-0.0671,0.4649,0.9149,1.028
0.490000,-0.0679,0.4644,0.9154,1.029
0.493000,-0.0657,0.4644,0.9156,1.029
0.496000,-0.0664,0.4654,0.9186,1.032
0.503000,-0.0657,0.4651,0.9205,1.033
0.504000,-0.0659,0.4642,0.9212,1.034
0.504000,-0.0706,0.4673,0.9215,1.036
0.505000,-0.0708,0.4654,0.9251,1.038
0.508000,-0.0735,0.4644,0.9234,1.036
0.510000,-0.0732,0.4676,0.9266,1.040
0.513000,-0.0747,0.4671,0.9234,1.038
0.515000,-0.0759,0.4688,0.9264,1.041
0.518000,-0.0762,0.4698,0.9278,1.043
0.520000,-0.0786,0.4705,0.9286,1.044
0.523000,-0.0798,0.4698,0.9305,1.045
0.525000,-0.0823,0.4722,0.9295,1.046
0.528000,-0.0886,0.4737,0.9300,1.047
0.531000,-0.0899,0.4751,0.9288,1.047
0.533000,-0.0899,0.4749,0.9286,1.047
0.535000,-0.0913,0.4778,0.9283,1.048
0.537000,-0.0913,0.4769,0.9283,1.048
0.540000,-0.0889,0.4773,0.9239,1.044
0.549000,-0.0879,0.4776,0.9198,1.040
0.550000,-0.0852,0.4764,0.9149,1.035
0.550000,-0.0803,0.4773,0.9122,1.033
0.553000,-0.0781,0.4761,0.9044,1.025
0.553000,-0.0737,0.4764,0.8976,1.019
0.555000,-0.0693,0.4729,0.8939,1.014
0.558000,-0.0676,0.4737,0.8900,1.010
0.576000,-0.0647,0.4737,0.8851,1.006
0.576000,-0.0635,0.4717,0.8805,1.001
0.577000,-0.0610,0.4749,0.8785,1.001
0.578000,-0.0584,0.4717,0.8758,0.996
0.578000,-0.0571,0.4708,0.8734,0.994
0.578000,-0.0579,0.4705,0.8724,0.993
0.579000,-0.0552,0.4700,0.8741,0.994
0.581000,-0.0525,0.4712,0.8741,0.994
0.581000,-0.0547,0.4686,0.8766,0.995
0.582000,-0.0535,0.4651,0.8775,0.995
0.585000,-0.0566,0.4646,0.8797,0.997
0.587000,-0.0574,0.4637,0.8834,0.999
0.589000,-0.0588,0.4629,0.8831,0.999
0.592000,-0.0576,0.4600,0.8858,1.000
0.597000,-0.0571,0.4603,0.8844,0.999
0.599000,-0.0569,0.4622,0.8863,1.001
0.604000,-0.0552,0.4622,0.8885,1.003
0.604000,-0.0562,0.4627,0.8910,1.006
0.605000,-0.0557,0.4607,0.8924,1.006
0.607000,-0.0584,0.4603,0.8958,1.009
0.611000,-0.0606,0.4625,0.8998,1.013
0.614000,-0.0623,0.4637,0.9046,1.018
0.615000,-0.0667,0.4629,0.9098,1.023
0.617000,-0.0706,0.4629,0.9134,1.026
0.619000,-0.0715,0.4627,0.9186,1.031
0.621000,-0.0720,0.4637,0.9237,1.036
0.624000,-0.0718,0.4642,0.9237,1.036
0.628000,-0.0708,0.4634,0.9278,1.040
0.631000,-0.0708,0.4656,0.9276,1.040
0.632000,-0.0711,0.4627,0.9293,1.041
0.634000,-0.0698,0.4627,0.9269,1.038
0.636000,-0.0691,0.4639,0.9278,1.040
0.639000,-0.0689,0.4654,0.9256,1.038
0.643000,-0.0674,0.4642,0.9259,1.038
0.644000,-0.0669,0.4649,0.9232,1.036
0.647000,-0.0596,0.4654,0.9215,1.034
0.650000,-0.0593,0.4664,0.9215,1.034
0.651000,-0.0613,0.4656,0.9183,1.031
0.654000,-0.0608,0.4654,0.9164,1.030
0.656000,-0.0593,0.4646,0.9139,1.027
0.659000,-0.0569,0.4654,0.9146,1.028
0.663000,-0.0601,0.4668,0.9139,1.028
0.664000,-0.0628,0.4620,0.9117,1.024
0.673000,-0.0625,0.4646,0.9107,1.024
0.674000,-0.0649,0.4666,0.9093,1.024
0.674000,-0.0696,0.4634,0.9078,1.022
0.674000,-0.0698,0.4651,0.9085,1.023
0.676000,-0.0689,0.4627,0.9085,1.022
0.683000,-0.0730,0.4646,0.9063,1.021
0.684000,-0.0732,0.4627,0.9046,1.019
0.684000,-0.0742,0.4627,0.9007,1.015
0.685000,-0.0772,0.4637,0.8978,1.013
0.688000,-0.0796,0.4646,0.8966,1.013
0.691000,-0.0828,0.4664,0.8936,1.011
0.693000,-0.0852,0.4646,0.8907,1.008
0.697000,-0.0857,0.4646,0.8905,1.008
0.700000,-0.0859,0.4673,0.8878,1.007
0.700000,-0.0867,0.4654,0.8827,1.002
0.703000,-0.0896,0.4654,0.8800,0.999
0.705000,-0.0906,0.4629,0.8790,0.998
0.708000,-0.0916,0.4622,0.8778,0.996
0.710000,-0.0945,0.4649,0.8731,0.994
0.714000,-0.0928,0.4654,0.8744,0.995
0.715000,-0.0933,0.4622,0.8722,0.991
0.718000,-0.0928,0.4637,0.8709,0.991
0.720000,-0.0911,0.4637,0.8722,0.992
0.722000,-0.0930,0.4646,0.8729,0.993
0.725000,-0.0960,0.4673,0.8734,0.995
0.728000,-0.0982,0.4678,0.8712,0.994
0.731000,-0.0996,0.4688,0.8680,0.992
0.733000,-0.1001,0.4688,0.8643,0.988
0.735000,-0.1052,0.4688,0.8639,0.988
0.738000,-0.1052,0.4676,0.8604,0.985
0.740000,-0.1065,0.4673,0.8607,0.985
0.743000,-0.1074,0.4681,0.8600,0.985
0.750000,-0.1067,0.4671,0.8607,0.985
0.752000,-0.1045,0.4686,0.8587,0.984
0.753000,-0.1004,0.4664,0.8560,0.980
0.784000,-0.0994,0.4688,0.8514,0.977
0.785000,-0.0955,0.4671,0.8448,0.970
0.786000,-0.0933,0.4661,0.8394,0.965
0.786000,-0.0903,0.4664,0.8350,0.961
0.786000,-0.0850,0.4642,0.8280,0.953
0.787000,-0.0806,0.4629,0.8250,0.949
0.787000,-0.0776,0.4625,0.8219,0.946
0.787000,-0.0728,0.4603,0.8189,0.942
0.788000,-0.0723,0.4629,0.8182,0.943
0.788000,-0.0745,0.4671,0.8136,0.941
0.788000,-0.0781,0.4693,0.8121,0.941
0.789000,-0.0798,0.4690,0.8126,0.942
0.789000,-0.0752,0.4651,0.8101,0.937
0.789000,-0.0754,0.4615,0.8123,0.937
0.790000,-0.0779,0.4576,0.8138,0.937
0.790000,-0.0757,0.4568,0.8126,0.935
0.794000,-0.0728,0.4541,0.8143,0.935
0.795000,-0.0681,0.4498,0.8143,0.933
0.799000,-0.0601,0.4446,0.8170,0.932
0.800000,-0.0584,0.4402,0.8226,0.935
0.802000,-0.0557,0.4402,0.8336,0.944
0.805000,-0.0581,0.4417,0.8382,0.949
0.807000,-0.0625,0.4419,0.8414,0.952
0.810000,-0.0654,0.4415,0.8409,0.952
0.812000,-0.0652,0.4395,0.8385,0.949
0.816000,-0.0664,0.4339,0.8336,0.942
0.818000,-0.0691,0.4283,0.8326,0.939
0.819000,-0.0657,0.4241,0.8309,0.935
0.821000,-0.0652,0.4187,0.8280,0.930
0.825000,-0.0596,0.4107,0.8285,0.927
0.827000,-0.0562,0.4058,0.8346,0.930
0.829000,-0.0508,0.4078,0.8446,0.939
0.833000,-0.0491,0.4078,0.8534,0.947
0.835000,-0.0518,0.4104,0.8590,0.953
0.836000,-0.0540,0.4124,0.8612,0.956
0.839000,-0.0537,0.4097,0.8592,0.953
0.841000,-0.0532,0.4053,0.8568,0.949
0.844000,-0.0549,0.3992,0.8570,0.947
0.849000,-0.0547,0.3955,0.8516,0.941
0.849000,-0.0540,0.3914,0.8512,0.938
0.853000,-0.0549,0.3892,0.8477,0.934
0.854000,-0.0581,0.3877,0.8436,0.930
0.856000,-0.0576,0.3887,0.8363,0.924
0.859000,-0.0559,0.3870,0.8277,0.915
0.866000,-0.0559,0.3885,0.8180,0.907
0.873000,-0.0557,0.3865,0.8121,0.901
0.874000,-0.0588,0.3882,0.8014,0.892
0.875000,-0.0603,0.3868,0.7940,0.885
0.876000,-0.0657,0.3870,0.7857,0.878
0.877000,-0.0649,0.3875,0.7742,0.868
0.878000,-0.0662,0.3872,0.7657,0.861
0.884000,-0.0681,0.3865,0.7579,0.853
0.885000,-0.0718,0.3894,0.7486,0.847
0.885000,-0.0713,0.3914,0.7369,0.837
0.888000,-0.0740,0.3934,0.7303,0.833
0.888000,-0.0757,0.3958,0.7227,0.827
0.891000,-0.0808,0.3963,0.7210,0.827
0.893000,-0.0835,0.3970,0.7169,0.824
0.896000,-0.0862,0.3963,0.7159,0.823
0.901000,-0.0903,0.3973,0.7200,0.827
0.902000,-0.0947,0.3951,0.7227,0.829
0.904000,-0.0940,0.3943,0.7237,0.830
0.906000,-0.0972,0.3907,0.7279,0.832
0.909000,-0.0957,0.3897,0.7269,0.830
0.912000,-0.0940,0.3858,0.7305,0.831
0.914000,-0.0913,0.3804,0.7364,0.834
0.916000,-0.0872,0.3765,0.7371,0.832
0.918000,-0.0889,0.3709,0.7401,0.833
0.920000,-0.0881,0.3655,0.7432,0.833
0.922000,-0.0837,0.3614,0.7454,0.833
0.925000,-0.0816,0.3565,0.7506,0.835
0.929000,-0.0789,0.3531,0.7594,0.841
0.932000,-0.0833,0.3484,0.7574,0.838
0.933000,-0.0837,0.3460,0.7559,0.836
0.935000,-0.0823,0.3389,0.7591,0.835
0.938000,-0.0789,0.3316,0.7591,0.832
0.940000,-0.0747,0.3343,0.7550,0.829
0.943000,-0.0723,0.3355,0.7481,0.823
0.948000,-0.0696,0.3367,0.7447,0.820
0.962000,-0.0718,0.3406,0.7340,0.812
0.963000,-0.0764,0.3448,0.7222,0.804
0.963000,-0.0864,0.3496,0.7120,0.798
0.963000,-0.0957,0.3528,0.6983,0.788
0.963000,-0.1038,0.3599,0.6822,0.778
0.963000,-0.1121,0.3655,0.6644,0.767
0.963000,-0.1199,0.3775,0.6392,0.752
0.964000,-0.1192,0.3875,0.6146,0.736
0.967000,-0.1165,0.4004,0.5823,0.716
0.969000,-0.1140,0.4122,0.5535,0.699
0.972000,-0.1074,0.4256,0.5252,0.684
0.974000,-0.0940,0.4351,0.4964,0.667
0.978000,-0.0842,0.4441,0.4671,0.650
0.981000,-0.0720,0.4510,0.4349,0.631
0.983000,-0.0632,0.4590,0.4060,0.616
0.985000,-0.0505,0.4634,0.3860,0.605
0.987000,-0.0400,0.4639,0.3689,0.594
0.990000,-0.0261,0.4661,0.3543,0.586
0.992000,-0.0173,0.4642,0.3474,0.580
0.994000,-0.0078,0.4603,0.3511,0.579
0.997000,0.0012,0.4578,0.3628,0.584
0.999000,0.0220,0.4488,0.3814,0.589
1.002000,0.0320,0.4422,0.4114,0.605
1.005000,0.0359,0.4312,0.4463,0.622
1.006000,0.0349,0.4200,0.4866,0.644
1.009000,0.0376,0.4112,0.5274,0.670
1.012000,0.0403,0.4026,0.5660,0.696
1.014000,0.0427,0.3965,0.6016,0.722
1.017000,0.0374,0.3868,0.6380,0.747
1.019000,0.0305,0.3785,0.6737,0.773
1.021000,0.0198,0.3667,0.7064,0.796
1.024000,0.0071,0.3577,0.7418,0.824
1.026000,-0.0054,0.3489,0.7801,0.855
1.029000,-0.0151,0.3472,0.8111,0.882
1.032000,-0.0178,0.3445,0.8331,0.902
1.035000,-0.0239,0.3391,0.8580,0.923
1.036000,-0.0376,0.3369,0.8839,0.947
1.039000,-0.0515,0.3343,0.9056,0.967
1.041000,-0.0664,0.3323,0.9183,0.979
1.048000,-0.0808,0.3348,0.9232,0.985
1.049000,-0.0955,0.3389,0.9254,0.990
1.049000,-0.1050,0.3445,0.9176,0.986
1.059000,-0.1143,0.3479,0.9054,0.977
1.059000,-0.1245,0.3567,0.8868,0.964
1.059000,-0.1355,0.3658,0.8665,0.950
1.059000,-0.1387,0.3758,0.8431,0.933
1.080000,-0.1441,0.3865,0.8162,0.915
1.080000,-0.1472,0.4002,0.7891,0.897
1.081000,-0.1475,0.4175,0.7562,0.876
1.081000,-0.1480,0.4290,0.7232,0.854
1.081000,-0.1463,0.4432,0.6871,0.831
1.081000,-0.1416,0.4527,0.6553,0.809
1.082000,-0.1458,0.4656,0.6256,0.793
1.082000,-0.1519,0.4783,0.6087,0.789
1.082000,-0.1680,0.4937,0.5982,0.794
1.085000,-0.1841,0.5110,0.5958,0.806
1.088000,-0.1973,0.5269,0.5977,0.821
1.088000,-0.2114,0.5413,0.6102,0.843
1.092000,-0.2163,0.5613,0.6280,0.870
1.095000,-0.2071,0.5782,0.6556,0.898
1.097000,-0.1951,0.5923,0.6820,0.924
1.098000,-0.1795,0.6041,0.7164,0.954
1.105000,-0.1695,0.6077,0.7574,0.986
1.106000,-0.1541,0.6065,0.8045,1.019
1.106000,-0.1392,0.5999,0.8595,1.057
1.108000,-0.1174,0.5875,0.9190,1.097
1.111000,-0.0911,0.5765,0.9769,1.138
1.113000,-0.0610,0.5596,1.0358,1.179
1.116000,-0.0269,0.5460,1.0904,1.220
1.118000,-0.0022,0.5296,1.1371,1.254
1.120000,0.0239,0.5179,1.1786,1.288
1.123000,0.0523,0.5108,1.2125,1.317
1.127000,0.0740,0.5130,1.2443,1.348
1.128000,0.0823,0.5157,1.2716,1.375
1.130000,0.0830,0.5176,1.2946,1.397
1.133000,0.0808,0.5154,1.3165,1.416
1.135000,0.0715,0.5149,1.3285,1.427
1.138000,0.0547,0.5181,1.3349,1.433
1.140000,0.0347,0.5245,1.3395,1.439
1.143000,0.0142,0.5355,1.3402,1.443
1.147000,-0.0129,0.5496,1.3402,1.449
1.148000,-0.0427,0.5672,1.3436,1.459
1.152000,-0.0735,0.5828,1.3495,1.472
1.153000,-0.1055,0.5982,1.3578,1.487
1.155000,-0.1311,0.6143,1.3656,1.503
1.159000,-0.1528,0.6229,1.3734,1.516
1.160000,-0.1709,0.6343,1.3827,1.531
1.171000,-0.1990,0.6448,1.3866,1.542
1.172000,-0.2246,0.6575,1.3922,1.556
1.173000,-0.2547,0.6702,1.3905,1.564
1.173000,-0.2786,0.6863,1.3949,1.579
1.174000,-0.2984,0.6976,1.3986,1.591
1.175000,-0.3162,0.7108,1.4098,1.610
1.179000,-0.3255,0.7152,1.4228,1.625
1.180000,-0.3316,0.7210,1.4311,1.636
1.185000,-0.3350,0.7249,1.4379,1.645
1.185000,-0.3326,0.7269,1.4413,1.648
1.187000,-0.3252,0.7281,1.4459,1.651
1.189000,-0.3160,0.7288,1.4442,1.648
1.192000,-0.3089,0.7293,1.4418,1.645
1.195000,-0.3008,0.7298,1.4340,1.637
1.200000,-0.2913,0.7323,1.4289,1.632
1.201000,-0.2837,0.7396,1.4284,1.633
1.202000,-0.2769,0.7474,1.4257,1.633
1.205000,-0.2725,0.7591,1.4242,1.637
1.207000,-0.2681,0.7684,1.4240,1.640
1.210000,-0.2642,0.7742,1.4220,1.641
1.212000,-0.2559,0.7767,1.4240,1.642
1.215000,-0.2476,0.7769,1.4323,1.648
1.217000,-0.2393,0.7725,1.4391,1.651
1.219000,-0.2288,0.7696,1.4535,1.661
1.221000,-0.2212,0.7650,1.4743,1.676
1.224000,-0.2171,0.7572,1.4923,1.687
1.226000,-0.2136,0.7545,1.5111,1.702
1.229000,-0.2063,0.7491,1.5302,1.716
1.233000,-0.1973,0.7406,1.5475,1.727
1.234000,-0.1885,0.7286,1.5646,1.736
1.237000,-0.1858,0.7171,1.5812,1.746
1.239000,-0.1790,0.7105,1.5929,1.753
1.242000,-0.1670,0.7083,1.5973,1.755
1.244000,-0.1565,0.7091,1.6032,1.760
1.248000,-0.1514,0.7083,1.6100,1.765
1.256000,-0.1485,0.7091,1.6122,1.768
1.256000,-0.1563,0.7073,1.6181,1.773
1.257000,-0.1692,0.7091,1.6254,1.781
1.257000,-0.1858,0.7095,1.6376,1.794
1.260000,-0.2075,0.7200,1.6437,1.806
1.273000,-0.2307,0.7296,1.6481,1.817
1.274000,-0.2510,0.7410,1.6520,1.828
1.274000,-0.2818,0.7535,1.6537,1.839
1.274000,-0.3140,0.7703,1.6586,1.856
1.275000,-0.3404,0.7862,1.6518,1.861
1.275000,-0.3594,0.8026,1.6469,1.867
1.285000,-0.3728,0.8182,1.6347,1.866
1.286000,-0.3797,0.8304,1.6198,1.859
1.286000,-0.3782,0.8382,1.6017,1.847
1.286000,-0.3738,0.8446,1.5788,1.829
1.289000,-0.3716,0.8448,1.5573,1.810
1.292000,-0.3697,0.8431,1.5338,1.789
1.292000,-0.3660,0.8412,1.5109,1.768
1.295000,-0.3616,0.8336,1.4823,1.739
1.297000,-0.3531,0.8292,1.4577,1.714
1.300000,-0.3379,0.8250,1.4342,1.689
1.302000,-0.3294,0.8214,1.4125,1.667
1.305000,-0.3160,0.8133,1.3942,1.645
1.305000,-0.3013,0.8065,1.3854,1.631
1.308000,-0.2852,0.7962,1.3766,1.616
1.318000,-0.2688,0.7855,1.3707,1.603
1.319000,-0.2578,0.7718,1.3637,1.588
1.320000,-0.2422,0.7540,1.3585,1.573
1.320000,-0.2261,0.7369,1.3563,1.560
1.321000,-0.2110,0.7222,1.3554,1.550
1.323000,-0.1919,0.7098,1.3480,1.536
1.325000,-0.1729,0.6971,1.3390,1.519
1.331000,-0.1482,0.6856,1.3307,1.504
1.331000,-0.1231,0.6783,1.3195,1.489
1.336000,-0.0984,0.6707,1.3078,1.473
1.337000,-0.0757,0.6622,1.2931,1.455
1.338000,-0.0601,0.6588,1.2758,1.437
1.340000,-0.0520,0.6578,1.2597,1.422
1.343000,-0.0466,0.6588,1.2394,1.404
1.349000,-0.0503,0.6607,1.2228,1.391
1.349000,-0.0606,0.6639,1.2057,1.378
1.356000,-0.0784,0.6693,1.1898,1.367
1.357000,-0.0994,0.6766,1.1776,1.362
1.358000,-0.1192,0.6851,1.1649,1.357
1.359000,-0.1331,0.6893,1.1493,1.347
1.361000,-0.1453,0.6973,1.1288,1.335
1.375000,-0.1680,0.7025,1.1163,1.330
1.375000,-0.1922,0.7030,1.1075,1.326
1.376000,-0.2122,0.7008,1.1022,1.323
1.376000,-0.2315,0.6942,1.1012,1.322
1.376000,-0.2532,0.6798,1.1107,1.327
