time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003,-0.07,0.07,0.04
0.004,-0.12,0.05,0.04
0.004,-0.16,0.04,0.04
0.004,-0.20,0.02,0.04
0.004,-0.24,0.01,0.05
0.004,-0.27,0.00,0.06
0.007,-0.29,-0.01,0.07
0.010,-0.30,-0.02,0.08
0.012,-0.30,-0.03,0.09
0.014,-0.30,-0.03,0.10
0.017,-0.29,-0.04,0.11
0.019,-0.28,-0.05,0.12
0.022,-0.26,-0.05,0.13
0.024,-0.24,-0.05,0.13
0.028,-0.22,-0.05,0.14
0.029,-0.19,-0.06,0.14
0.031,-0.16,-0.06,0.14
0.035,-0.13,-0.06,0.13
0.037,-0.10,-0.05,0.13
0.039,-0.07,-0.05,0.12
0.043,-0.04,-0.05,0.11
0.044,-0.01,-0.04,0.11
0.048,0.01,-0.03,0.10
0.049,0.03,-0.03,0.09
0.051,0.05,-0.02,0.08
0.054,0.07,-0.01,0.08
0.056,0.08,-0.00,0.08
0.060,0.09,0.00,0.07
0.061,0.10,0.01,0.07
0.063,0.11,0.02,0.07
0.066,0.11,0.03,0.07
0.069,0.11,0.03,0.07
0.071,0.11,0.04,0.07
0.075,0.10,0.04,0.08
0.077,0.10,0.04,0.08
0.079,0.09,0.05,0.09
0.081,0.08,0.05,0.09
0.083,0.08,0.05,0.09
0.086,0.06,0.04,0.10
0.088,0.05,0.04,0.10
0.091,0.03,0.03,0.10
0.094,0.01,0.02,0.09
0.096,-0.01,0.01,0.09
0.098,-0.03,0.01,0.09
0.101,-0.05,-0.01,0.08
0.103,-0.08,-0.02,0.07
0.106,-0.10,-0.03,0.07
0.108,-0.12,-0.04,0.06
0.111,-0.14,-0.06,0.06
0.113,-0.16,-0.06,0.06
0.115,-0.18,-0.07,0.05
0.119,-0.19,-0.08,0.05
0.120,-0.20,-0.09,0.05
0.123,-0.20,-0.09,0.05
0.126,-0.21,-0.09,0.05
0.128,-0.20,-0.09,0.05
0.130,-0.20,-0.09,0.06
0.133,-0.19,-0.09,0.06
0.135,-0.18,-0.08,0.07
0.138,-0.17,-0.08,0.08
0.140,-0.15,-0.08,0.09
0.144,-0.14,-0.07,0.09
0.146,-0.12,-0.06,0.10
0.148,-0.10,-0.06,0.10
0.150,-0.08,-0.05,0.11
0.153,-0.06,-0.04,0.11
0.155,-0.05,-0.03,0.11
0.158,-0.03,-0.03,0.10
0.160,-0.01,-0.02,0.10
0.162,-0.00,-0.01,0.09
0.165,0.01,0.00,0.09
0.167,0.02,0.01,0.08
0.170,0.03,0.02,0.08
0.172,0.04,0.02,0.07
0.175,0.04,0.03,0.07
0.178,0.04,0.03,0.06
0.180,0.05,0.04,0.06
0.184,0.04,0.04,0.06
0.185,0.04,0.04,0.05
0.189,0.03,0.05,0.05
0.190,0.03,0.04,0.05
0.192,0.02,0.04,0.05
0.195,0.01,0.04,0.05
0.197,-0.00,0.04,0.05
0.200,-0.01,0.03,0.05
0.202,-0.03,0.03,0.05
0.204,-0.04,0.02,0.04
0.207,-0.05,0.02,0.04
0.210,-0.05,0.01,0.04
0.212,-0.06,0.01,0.04
0.214,-0.07,0.01,0.04
0.217,-0.07,0.01,0.04
0.220,-0.07,0.00,0.04
0.222,-0.07,-0.00,0.04
0.225,-0.07,-0.00,0.04
0.228,-0.06,-0.00,0.04
0.229,-0.06,-0.00,0.04
0.232,-0.05,-0.01,0.04
0.234,-0.05,-0.01,0.05
0.236,-0.04,-0.01,0.05
0.239,-0.03,-0.01,0.05
0.242,-0.02,-0.01,0.05
0.244,-0.01,-0.01,0.06
0.246,-0.00,-0.01,0.06
0.249,0.01,-0.01,0.06
0.251,0.01,-0.01,0.07
0.254,0.02,-0.01,0.07
0.256,0.02,-0.00,0.07
0.260,0.02,-0.00,0.08
0.262,0.02,0.00,0.08
0.264,0.02,0.00,0.08
0.266,0.02,0.00,0.08
0.269,0.02,-0.00,0.08
0.271,0.02,-0.00,0.08
0.274,0.01,-0.00,0.08
0.278,0.00,-0.01,0.08
0.278,-0.00,-0.01,0.07
0.291,-0.01,-0.02,0.07
0.291,-0.02,-0.02,0.07
0.291,-0.03,-0.03,0.07
0.291,-0.04,-0.04,0.07
0.291,-0.05,-0.04,0.07
0.294,-0.06,-0.04,0.06
0.296,-0.07,-0.04,0.06
0.300,-0.08,-0.04,0.06
0.302,-0.08,-0.04,0.06
0.303,-0.10,-0.03,0.06
0.306,-0.11,-0.03,0.06
0.309,-0.11,-0.03,0.06
0.311,-0.12,-0.03,0.05
0.313,-0.13,-0.02,0.05
0.316,-0.13,-0.02,0.05
0.318,-0.14,-0.02,0.04
0.320,-0.14,-0.01,0.04
0.323,-0.14,-0.01,0.03
0.326,-0.14,-0.01,0.02
0.328,-0.15,-0.00,0.02
0.331,-0.14,-0.00,0.02
0.333,-0.14,0.00,0.02
0.335,-0.14,0.01,0.02
0.338,-0.14,0.01,0.02
0.340,-0.14,0.01,0.02
0.344,-0.14,0.01,0.02
0.345,-0.14,0.01,0.03
0.348,-0.14,0.01,0.03
0.350,-0.14,0.00,0.04
0.353,-0.14,0.00,0.04
0.355,-0.14,-0.01,0.05
0.358,-0.15,-0.01,0.05
0.361,-0.15,-0.02,0.06
0.363,-0.16,-0.03,0.07
0.365,-0.17,-0.03,0.07
0.367,-0.17,-0.04,0.08
0.370,-0.18,-0.05,0.08
0.372,-0.19,-0.06,0.08
0.375,-0.20,-0.06,0.08
0.378,-0.21,-0.07,0.08
0.380,-0.22,-0.07,0.08
0.382,-0.23,-0.08,0.07
0.385,-0.24,-0.09,0.07
0.388,-0.25,-0.09,0.07
0.390,-0.26,-0.09,0.06
0.392,-0.26,-0.10,0.06
0.395,-0.27,-0.10,0.06
0.397,-0.28,-0.10,0.05
0.400,-0.28,-0.10,0.05
0.403,-0.28,-0.10,0.05
0.404,-0.29,-0.09,0.05
0.407,-0.29,-0.08,0.05
0.410,-0.29,-0.08,0.05
0.412,-0.29,-0.07,0.05
0.414,-0.29,-0.06,0.05
0.417,-0.28,-0.05,0.05
0.420,-0.28,-0.04,0.05
0.422,-0.28,-0.03,0.05
0.424,-0.27,-0.02,0.05
0.428,-0.27,-0.01,0.05
0.429,-0.27,-0.01,0.05
0.432,-0.27,-0.00,0.05
0.434,-0.27,0.00,0.05
0.437,-0.27,0.00,0.05
0.439,-0.27,0.00,0.05
0.443,-0.28,0.00,0.05
0.445,-0.28,-0.00,0.05
0.447,-0.29,-0.01,0.04
0.449,-0.30,-0.02,0.04
0.452,-0.31,-0.03,0.04
0.454,-0.32,-0.04,0.04
0.457,-0.34,-0.06,0.04
0.460,-0.35,-0.06,0.03
0.468,-0.36,-0.07,0.03
0.468,-0.37,-0.07,0.03
0.468,-0.37,-0.06,0.02
0.469,-0.37,-0.04,0.01
0.471,-0.37,-0.02,0.01
0.474,-0.36,-0.00,0.00
0.478,-0.35,0.02,-0.00
0.479,-0.33,0.04,-0.01
0.481,-0.30,0.06,-0.02
0.484,-0.28,0.08,-0.02
0.486,-0.25,0.11,-0.03
0.488,-0.22,0.13,-0.03
0.492,-0.19,0.15,-0.04
0.497,-0.16,0.17,-0.04
0.498,-0.14,0.20,-0.04
0.498,-0.11,0.22,-0.04
0.501,-0.08,0.24,-0.04
0.504,-0.06,0.26,-0.05
0.505,-0.04,0.28,-0.05
0.511,-0.02,0.29,-0.05
0.514,-0.00,0.30,-0.05
0.515,0.01,0.31,-0.05
0.517,0.02,0.31,-0.05
0.518,0.04,0.32,-0.05
0.520,0.04,0.32,-0.05
0.523,0.05,0.32,-0.05
0.528,0.06,0.32,-0.05
0.532,0.06,0.32,-0.05
0.533,0.07,0.31,-0.05
0.533,0.07,0.31,-0.04
0.535,0.07,0.31,-0.04
0.538,0.07,0.31,-0.04
0.540,0.08,0.30,-0.04
0.547,0.08,0.30,-0.03
0.550,0.09,0.29,-0.03
0.550,0.09,0.28,-0.03
0.551,0.09,0.26,-0.02
0.552,0.10,0.25,-0.02
0.555,0.11,0.23,-0.02
0.558,0.11,0.21,-0.01
0.563,0.12,0.19,-0.01
0.563,0.13,0.17,-0.01
0.568,0.13,0.15,-0.00
0.569,0.14,0.13,-0.00
0.570,0.15,0.11,-0.00
0.573,0.16,0.09,-0.00
0.578,0.16,0.07,-0.00
0.581,0.17,0.06,-0.00
0.582,0.17,0.04,-0.01
0.584,0.16,0.03,-0.01
0.586,0.16,0.03,-0.02
0.589,0.15,0.04,-0.02
0.590,0.13,0.05,-0.03
0.594,0.12,0.07,-0.04
0.596,0.09,0.10,-0.05
0.597,0.07,0.13,-0.06
0.600,0.03,0.16,-0.08
0.602,0.00,0.20,-0.09
0.604,-0.03,0.24,-0.10
0.608,-0.07,0.28,-0.11
0.612,-0.11,0.32,-0.12
0.612,-0.14,0.36,-0.13
0.615,-0.17,0.40,-0.14
0.617,-0.19,0.43,-0.14
0.619,-0.21,0.46,-0.15
0.622,-0.21,0.49,-0.15
0.624,-0.21,0.51,-0.15
0.627,-0.21,0.52,-0.16
0.629,-0.19,0.52,-0.16
0.632,-0.16,0.51,-0.16
0.634,-0.13,0.49,-0.17
0.636,-0.09,0.46,-0.17
0.639,-0.04,0.43,-0.16
0.644,0.01,0.38,-0.16
0.646,0.05,0.33,-0.16
0.647,0.10,0.27,-0.15
0.650,0.14,0.20,-0.15
0.651,0.17,0.12,-0.14
0.654,0.20,0.03,-0.14
0.657,0.21,-0.06,-0.13
0.660,0.21,-0.16,-0.13
0.662,0.19,-0.26,-0.13
0.664,0.16,-0.35,-0.13
0.666,0.12,-0.44,-0.13
0.669,0.06,-0.53,-0.14
0.671,0.00,-0.61,-0.14
0.674,-0.07,-0.68,-0.15
0.678,-0.14,-0.75,-0.16
0.679,-0.21,-0.81,-0.17
0.681,-0.28,-0.87,-0.18
